year,site,area_acres,depth_ft,rate_ppb
2006,all,140,7.9,
2007,all,3247,7.9,
2008,all,3247,7.9,
2009,all,0,7.9,0
2010,all,500,7.9,
2011,all,2413,7.9,
2012,all,700,7.9,
2013,all,0,7.9,0
2014,173,354.6,7.9,100
2014,174,1169.4,7.9,100
2014,175,348.9,7.9,115
2015,all,0,7.9,0
2016,173,37.3,7.9,170
2016,174,805.1,7.9,170
2016,175,202.6,7.9,170
2017,173,409,7.9,177.5
2017,174,310,7.9,177.5
2017,175,378,7.9,177.5
2018,173,220,7.9,112.5
2018,174,906,7.9,115
2018,175,0,7.9,0
2019,all,0,7.9,0
2020,all,0,7.9,0
2021,all,0,7.9,0
